'one': [19238, 49] 
'saturn': [166, 11] 
'ended': [166, 33] 
'9': [166, 21] 
'chivalry': [166, 7] 
'pyotr': [166, 2] 
'immense': [165, 24] 
'notions': [165, 29] 
'stupid': [165, 21] 
'furnish': [165, 24] 
'luxury': [165, 28] 
'stir': [165, 33] 
'races': [165, 20] 
'everyone': [165, 21] 
'“well': [165, 5] 
'toil': [164, 32] 
'oppressed': [164, 26] 
'shade': [164, 30] 
'peradventure': [164, 7] 
'delicate': [164, 28] 
'inquire': [164, 26] 
'variations': [164, 12] 
'blue': [164, 20] 
'german': [164, 21] 
'“oh': [164, 5] 
'keeps': [163, 39] 
'arrangement': [163, 28] 
'tenth': [163, 21] 
'forbid': [163, 31] 
'permit': [163, 33] 
'accomplished': [163, 32] 
'upper': [163, 29] 
'reasoning': [163, 28] 
'destined': [163, 25] 
'lovely': [163, 21] 
'preferred': [162, 33] 
'chains': [162, 30] 
'win': [162, 37] 
'hostile': [162, 30] 
'attributed': [162, 21] 
'receiving': [162, 29] 
'praised': [162, 24] 
'decision': [162, 27] 
'unwilling': [162, 32] 
'blows': [162, 34] 
'expenses': [162, 22] 
'returning': [162, 32] 
'fertility': [162, 12] 
'occasioned': [162, 19] 
'principally': [162, 13] 
'reduce': [162, 23] 
'pour': [161, 28] 
'regards': [161, 29] 
'tear': [161, 37] 
'returns': [161, 30] 
'companion': [161, 29] 
'laughing': [161, 19] 
'convenient': [161, 27] 
'current': [161, 30] 
'subjected': [161, 23] 
'diminish': [161, 22] 
'kingdoms': [161, 19] 
'surplus': [161, 6] 
'central': [161, 14] 
'discharge': [160, 29] 
'reflection': [160, 31] 
'errors': [160, 29] 
'flocks': [160, 22] 
'fitted': [160, 33] 
'allied': [160, 19] 
'rejected': [160, 27] 
'closed': [160, 28] 
'egyptians': [160, 15] 
'accord': [160, 31] 
'observing': [160, 27] 
'fingers': [160, 29] 
'fifteen': [160, 23] 
'monarch': [160, 22] 
'decree': [160, 21] 
'dance': [160, 22] 
'greece': [160, 19] 
'yellow': [160, 20] 
'i’ve': [160, 5] 
'laertes': [160, 4] 
'proceeding': [159, 31] 
'unequal': [159, 21] 
'beseech': [159, 20] 
'7': [159, 20] 
'bestow': [159, 29] 
'variation': [159, 13] 
'repeat': [158, 32] 
'strongly': [158, 32] 
'interesting': [158, 22] 
'risen': [158, 25] 
'benefits': [158, 26] 
'southern': [158, 11] 
'arrive': [158, 32] 
'appearances': [158, 20] 
'accordance': [158, 21] 
'catch': [158, 29] 
'temperance': [158, 20] 
'pleases': [158, 25] 
'charity': [158, 26] 
'endeavoured': [158, 18] 
'sensibility': [158, 12] 
'mother’s': [158, 11] 
'indian': [157, 15] 
'breed': [157, 26] 
'supper': [157, 22] 
'cares': [157, 33] 
'astonished': [157, 24] 
'drop': [157, 34] 
'constituted': [157, 25] 
'operations': [157, 19] 
'fellows': [157, 35] 
'womb': [157, 24] 
'friendly': [157, 30] 
'milk': [157, 29] 
'numbered': [157, 13] 
'messenger': [157, 23] 
'ox': [157, 20] 
'confounded': [157, 21] 
'conceal': [157, 30] 
'arrow': [157, 21] 
'17': [157, 17] 
'uncle': [157, 20] 
'jeremiah': [157, 3] 
'shewed': [157, 6] 
'attained': [156, 33] 
'hills': [156, 23] 
'thunder': [156, 23] 
'functions': [156, 22] 
'verses': [156, 21] 
'changing': [156, 32] 
'smoke': [156, 25] 
'excited': [156, 22] 
'affair': [156, 24] 
'climate': [156, 18] 
'jealous': [156, 34] 
'nobility': [156, 23] 
'observations': [156, 21] 
'adventures': [156, 15] 
'published': [156, 29] 
'tho': [156, 5] 
'tyrants': [155, 25] 
'labor': [155, 8] 
'witnesses': [155, 23] 
'zeal': [155, 27] 
'suspect': [155, 29] 
'lately': [155, 31] 
'elected': [155, 19] 
'fund': [155, 8] 
'powr': [155, 2] 
'wickham': [155, 1] 
'flat': [154, 25] 
'almighty': [154, 22] 
'reader': [154, 26] 
'lastly': [154, 23] 
'denied': [154, 33] 
'fairly': [154, 33] 
'physicians': [154, 21] 
'strongest': [154, 32] 
'root': [154, 35] 
'kiss': [154, 21] 
'civilized': [154, 13] 
'concluded': [154, 31] 
'offend': [154, 27] 
'horatio': [154, 1] 
'contented': [153, 36] 
'accidents': [153, 24] 
'tone': [153, 24] 
'undoubtedly': [153, 25] 
'bowed': [153, 17] 
'unworthy': [153, 30] 
'flames': [153, 20] 
'breaking': [153, 31] 
'vile': [153, 31] 
'mounted': [153, 17] 
'accounts': [153, 19] 
'plains': [153, 19] 
'combat': [153, 20] 
'waited': [153, 19] 
'collins': [153, 5] 
'attempts': [152, 29] 
'attacked': [152, 27] 
'successive': [152, 20] 
'laughter': [152, 28] 
'arrows': [152, 19] 
'entertain': [152, 31] 
'upright': [152, 26] 
'entering': [152, 26] 
'organic': [152, 8] 
'commons': [152, 14] 
'sabbath': [152, 7] 
'shake': [152, 34] 
'isaac': [152, 6] 
'smite': [152, 8] 
'“how': [152, 6] 
'worn': [151, 31] 
'boast': [151, 30] 
'serves': [151, 30] 
'reference': [151, 25] 
'county': [151, 13] 
'hail': [151, 26] 
'homer': [151, 18] 
'systems': [151, 23] 
'openly': [151, 28] 
'neglected': [151, 32] 
'noticed': [151, 20] 
'record': [151, 20] 
'jurisdiction': [151, 12] 
'expectation': [151, 32] 
'informed': [151, 24] 
'goeth': [151, 5] 
'lord’s': [150, 9] 
'abandoned': [150, 23] 
'inward': [150, 27] 
'calm': [150, 30] 
'nonsense': [150, 19] 
'pair': [150, 23] 
'strife': [150, 22] 
'approved': [150, 27] 
'exclusive': [150, 16] 
'fain': [150, 26] 
'constitute': [150, 22] 
'girls': [150, 17] 
'thereon': [150, 13] 
'economic': [150, 7] 
'exceedingly': [149, 27] 
'characteristic': [149, 26] 
'torn': [149, 30] 
'awful': [149, 23] 
'seeks': [149, 32] 
'problem': [149, 19] 
'lesser': [149, 29] 
'recourse': [149, 21] 
'elder': [149, 32] 
'apparently': [149, 24] 
'judging': [149, 25] 
'recognised': [149, 16] 
'smell': [149, 27] 
'measured': [149, 26] 
'guest': [149, 23] 
'totally': [149, 18] 
'hang': [149, 31] 
'mancha': [149, 1] 
'flow': [148, 35] 
'dependent': [148, 25] 
'barbarous': [148, 24] 
'falsehood': [148, 28] 
'rid': [148, 33] 
'ocean': [148, 25] 
'manufacture': [148, 9] 
'dull': [148, 37] 
'foundations': [148, 29] 
'respectable': [148, 18] 
'certainty': [148, 29] 
'fulfilled': [148, 22] 
'prevailed': [148, 25] 
'recent': [148, 21] 
'slaughter': [148, 25] 
'sand': [148, 24] 
'resurrection': [148, 7] 
'nigh': [148, 16] 
'prejudices': [148, 18] 
'testament': [148, 13] 
'lily': [148, 7] 
'esteemed': [147, 21] 
'affirm': [147, 28] 
'churches': [147, 19] 
'representatives': [147, 16] 
'description': [147, 25] 
'laying': [147, 31] 
'region': [147, 27] 
'melancholy': [147, 25] 
'listening': [147, 24] 
'economy': [147, 15] 
'morrow': [147, 19] 
'entrance': [147, 30] 
'spanish': [147, 15] 
'president': [146, 10] 
'streams': [146, 25] 
'owner': [146, 24] 
'strive': [146, 30] 
'assumed': [146, 29] 
'abstract': [146, 26] 
'disagreeable': [146, 17] 
'furnished': [146, 30] 
'guilt': [146, 30] 
'mingled': [146, 24] 
'runs': [146, 35] 
'assurance': [146, 26] 
'regions': [146, 24] 
'increases': [146, 15] 
'purely': [146, 24] 
'apostle': [146, 8] 
'vows': [146, 21] 
'dr': [146, 13] 
'everybody': [145, 21] 
'claims': [145, 23] 
'theology': [145, 14] 
'stretch': [145, 25] 
'moderation': [145, 20] 
'likeness': [145, 26] 
'admirable': [145, 26] 
'addition': [145, 31] 
'eg': [145, 8] 
'sets': [145, 36] 
'emotion': [145, 20] 
'formation': [145, 18] 
'antony': [145, 6] 
'exclaimed': [145, 12] 
'languages': [145, 23] 
'them”': [145, 8] 
'indies': [145, 9] 
'manasseh': [145, 2] 
'chain': [144, 29] 
'unite': [144, 30] 
'basis': [144, 28] 
'frame': [144, 33] 
'losing': [144, 36] 
'recover': [144, 32] 
'constitutions': [144, 18] 
'smallest': [144, 32] 
'trace': [144, 31] 
'possesses': [144, 26] 
'providence': [144, 25] 
'relate': [144, 24] 
'marvellous': [144, 26] 
'judicial': [144, 16] 
'spears': [144, 12] 
'knoweth': [144, 7] 
'camilla': [144, 5] 
'pound': [144, 12] 
'turnus': [144, 3] 
'that”': [144, 4] 
'unjustly': [143, 20] 
'ordained': [143, 23] 
'association': [143, 16] 
'shepherds': [143, 19] 
'charms': [143, 21] 
'admire': [143, 30] 
'draws': [143, 41] 
'plays': [143, 26] 
'scheme': [143, 20] 
'risk': [143, 25] 
'edge': [143, 26] 
'striking': [143, 29] 
'concealed': [143, 30] 
'injuries': [143, 22] 
'refuge': [143, 28] 
'wore': [143, 22] 
'sink': [143, 29] 
'“in': [143, 10] 
'eloquence': [142, 26] 
'fraud': [142, 25] 
'confirmed': [142, 27] 
'occasional': [142, 18] 
'sickness': [142, 24] 
'receives': [142, 27] 
'profound': [142, 29] 
'unfortunate': [142, 24] 
'remarked': [142, 20] 
'intelligent': [142, 26] 
'local': [142, 18] 
'19': [142, 15] 
'someone': [142, 11] 
'“to': [142, 11] 
'rajah': [142, 1] 
'seventy': [141, 18] 
'clothed': [141, 21] 
'marked': [141, 31] 
'addressed': [141, 24] 
'shores': [141, 18] 
'listened': [141, 23] 
'assist': [141, 28] 
'adapted': [141, 26] 
'training': [141, 14] 
'promote': [141, 24] 
'precepts': [141, 21] 
'belly': [141, 18] 
'forasmuch': [141, 7] 
'lamb': [141, 17] 
'toboso': [141, 1] 
'capulet': [141, 1] 
'patient': [140, 36] 
'agreement': [140, 28] 
'seriously': [140, 31] 
'avoided': [140, 30] 
'leaders': [140, 24] 
'medicine': [140, 27] 
'create': [140, 31] 
'execute': [140, 24] 
'faults': [140, 27] 
'ambitious': [140, 27] 
'finger': [140, 22] 
'touching': [140, 29] 
'ruined': [140, 26] 
'miracle': [140, 23] 
'possessions': [140, 22] 
'void': [140, 30] 
'information': [140, 24] 
'cato': [140, 15] 
'grain': [140, 25] 
'stead': [140, 18] 
'del': [140, 7] 
'i’m': [140, 10] 
'orestes': [140, 6] 
'saving': [139, 28] 
'insult': [139, 26] 
'sixth': [139, 26] 
'range': [139, 27] 
'describe': [139, 29] 
'guardians': [139, 17] 
'resemble': [139, 23] 
'bred': [139, 26] 
'sacrificed': [139, 24] 
'hadst': [139, 17] 
'wee': [139, 3] 
'fetch': [139, 19] 
'quixote’s': [139, 1] 
'astonishment': [138, 21] 
'accepted': [138, 27] 
'hollow': [138, 27] 
'ruling': [138, 27] 
'philosophical': [138, 17] 
'doubtless': [138, 23] 
'strict': [138, 25] 
'regulate': [138, 23] 
'subordinate': [138, 17] 
'contend': [138, 26] 
'pressed': [138, 25] 
'abandon': [138, 24] 
'circulation': [138, 10] 
'22': [138, 14] 
'hezekiah': [138, 4] 
'castruccio': [138, 3] 
'inclinations': [138, 17] 
'chap': [138, 10] 
'madam': [138, 12] 
'dressed': [137, 21] 
'co': [137, 23] 
'sport': [137, 28] 
'mary': [137, 16] 
'assemblies': [137, 18] 
'post': [137, 35] 
'unity': [137, 24] 
'game': [137, 30] 
'governing': [137, 19] 
'appetites': [137, 19] 
'comrades': [137, 15] 
'trusted': [137, 27] 
'settle': [137, 31] 
'pace': [137, 27] 
'steel': [137, 23] 
'expedient': [137, 19] 
'dominions': [137, 20] 
'eminent': [137, 25] 
'league': [137, 19] 
'absent': [137, 30] 
'inhabited': [137, 15] 
'societies': [137, 17] 
'manufacturers': [137, 1] 
'joab': [137, 1] 
'carries': [136, 29] 
'scorn': [136, 32] 
'internal': [136, 22] 
'breeds': [136, 14] 
'seated': [136, 23] 
'criminal': [136, 21] 
'posterity': [136, 25] 
'ancestors': [136, 27] 
'tomb': [136, 22] 
'begged': [136, 17] 
'grounds': [136, 28] 
'seasons': [136, 28] 
'deeply': [136, 34] 
'treasures': [136, 21] 
'snow': [136, 29] 
'breadth': [136, 20] 
'vanquished': [136, 17] 
'swords': [136, 21] 
'slept': [136, 20] 
'afar': [136, 15] 
'shook': [136, 22] 
'wonders': [135, 27] 
'believing': [135, 24] 
'thin': [135, 28] 
'legislation': [135, 12] 
'flee': [135, 11] 
'representation': [135, 21] 
'praises': [135, 26] 
'messengers': [135, 16] 
'disdain': [135, 24] 
'nearest': [135, 28] 
'assembled': [135, 25] 
'interested': [135, 23] 
'lions': [135, 21] 
'rapid': [135, 23] 
'labourers': [135, 11] 
'tongues': [135, 26] 
'fruitful': [135, 24] 
'idols': [135, 6] 
'flung': [135, 14] 
'crew': [134, 17] 
'endowed': [134, 28] 
'constitutional': [134, 13] 
'“let': [134, 9] 
'divisions': [134, 23] 
'revenues': [134, 13] 
'strictly': [134, 23] 
'coat': [134, 22] 
'colours': [134, 23] 
'ashes': [134, 26] 
'forbidden': [134, 25] 
'diseases': [134, 26] 
'enchanted': [134, 10] 
'fix': [134, 29] 
'sleeping': [134, 25] 
'estates': [134, 17] 
'throat': [134, 25] 
'borrowed': [134, 21] 
'stated': [134, 24] 
'ancients': [134, 20] 
'duration': [134, 21] 
'district': [134, 13] 
'grove': [134, 14] 
'pitch': [134, 25] 
'glass': [134, 29] 
'farewell': [134, 23] 
'&c': [134, 14] 
'edgar': [134, 1] 
'heroes': [133, 24] 
'veil': [133, 24] 
'uttered': [133, 22] 
'police': [133, 13] 
'attached': [133, 23] 
'encourage': [133, 23] 
'trades': [133, 16] 
'breach': [133, 25] 
'specific': [133, 15] 
'fountain': [133, 22] 
'stroke': [133, 26] 
'cloth': [133, 12] 
'montaigne': [133, 2] 
'hybrids': [133, 1] 
'what’s': [133, 12] 
'previous': [132, 27] 
'immortality': [132, 20] 
'northern': [132, 17] 
'“is': [132, 9] 
'temptation': [132, 24] 
'remark': [132, 25] 
'chair': [132, 16] 
'inside': [132, 18] 
'dwelling': [132, 26] 
'fates': [132, 16] 
'reins': [132, 18] 
'disturb': [132, 27] 
'trifling': [132, 24] 
'shortly': [132, 31] 
'landed': [132, 17] 
'directors': [132, 8] 
'successful': [132, 25] 
'weapons': [132, 31] 
'brain': [132, 27] 
'cheaper': [132, 6] 
'samaria': [132, 2] 
'edmund': [132, 3] 
'submission': [131, 21] 
'followers': [131, 28] 
'contains': [131, 31] 
'conviction': [131, 25] 
'antiquity': [131, 20] 
'ep': [131, 2] 
'continues': [131, 22] 
'sway': [131, 27] 
'thirdly': [131, 22] 
'impious': [131, 20] 
'damsel': [131, 6] 
'regulations': [131, 13] 
'dishonour': [131, 23] 
'sober': [131, 24] 
'lance': [131, 7] 
'avarice': [130, 18] 
'invented': [130, 20] 
'outward': [130, 32] 
'infancy': [130, 21] 
'nose': [130, 27] 
'respective': [130, 18] 
'introduce': [130, 27] 
'dies': [130, 34] 
'weapon': [130, 25] 
'intervals': [130, 22] 
'robe': [130, 19] 
'severity': [130, 26] 
'resistance': [130, 24] 
'voluntarily': [130, 23] 
'dispose': [130, 26] 
'dealt': [130, 25] 
'kindled': [130, 17] 
'alarm': [130, 23] 
'extinct': [130, 11] 
'nestor': [130, 5] 
'definition': [129, 21] 
'seize': [129, 33] 
'passes': [129, 27] 
'lydia': [129, 7] 
'anointed': [129, 10] 
'washed': [129, 16] 
'surface': [129, 25] 
'bride': [129, 21] 
'easier': [129, 32] 
'deliberation': [129, 22] 
'companies': [129, 16] 
'requisite': [129, 23] 
'deserves': [129, 22] 
'poison': [129, 28] 
'justify': [129, 25] 
'tents': [129, 14] 
'pit': [129, 13] 
'considerations': [128, 24] 
'innumerable': [128, 22] 
'movements': [128, 22] 
'unlike': [128, 25] 
'rod': [128, 17] 
'sexes': [128, 17] 
'earlier': [128, 32] 
'sale': [128, 20] 
'practised': [128, 28] 
'scale': [128, 31] 
'enlightened': [128, 18] 
'vary': [128, 20] 
'busy': [128, 31] 
'methinks': [128, 18] 
'instructed': [128, 24] 
'philip': [128, 15] 
'italian': [128, 22] 
'subsist': [128, 20] 
'centuries': [128, 19] 
'hoped': [128, 24] 
'tied': [128, 26] 
'widow': [128, 22] 
'piety': [127, 23] 
'discuss': [127, 22] 
'celestial': [127, 16] 
'tower': [127, 20] 
'adds': [127, 24] 
'wast': [127, 22] 
'defects': [127, 25] 
'counsels': [127, 24] 
'altered': [127, 25] 
'barren': [127, 26] 
'harvest': [127, 27] 
'affliction': [127, 20] 
'square': [127, 25] 
'viii': [127, 28] 
'cursed': [127, 20] 
'suspected': [127, 31] 
'despotism': [127, 14] 
'valuable': [127, 24] 
'vigorous': [127, 21] 
'devils': [127, 15] 
'maxim': [127, 16] 
'sixty': [127, 18] 
'“a': [127, 8] 
'bill': [127, 15] 
'anselmo': [127, 2] 
'select': [126, 23] 
'distinctly': [126, 21] 
'shining': [126, 24] 
'supplied': [126, 24] 
'goodly': [126, 18] 
'composition': [126, 22] 
'opening': [126, 30] 
'upward': [126, 20] 
'weaker': [126, 32] 
'voices': [126, 30] 
'instantly': [126, 23] 
'assert': [126, 22] 
'monstrous': [126, 27] 
'spoils': [126, 24] 
'burst': [126, 28] 
'sorrows': [126, 23] 
'perished': [126, 24] 
'instincts': [126, 11] 
'display': [126, 27] 
'emotions': [126, 17] 
'mourning': [126, 21] 
'constancy': [126, 17] 
'chastity': [126, 17] 
'innocence': [126, 26] 
'afforded': [126, 22] 
'scarcity': [126, 11] 
'couple': [126, 22] 
'lively': [126, 21] 
'friar': [126, 5] 
'evill': [126, 1] 
'legislature': [126, 9] 
'fernando': [126, 3] 
'lothario': [126, 1] 
'deprive': [125, 25] 
'remarks': [125, 22] 
'playing': [125, 30] 
'adopt': [125, 23] 
'additional': [125, 19] 
'imported': [125, 10] 
'articles': [125, 20] 
'justified': [125, 21] 
'inasmuch': [125, 21] 
'aristocratic': [125, 13] 
'bit': [125, 26] 
'consume': [125, 22] 
'solely': [125, 26] 
'killing': [125, 22] 
'meantime': [125, 25] 
'23': [125, 13] 
'sworn': [125, 24] 
'speaketh': [125, 5] 
'floor': [125, 17] 
'separation': [124, 22] 
'huge': [124, 29] 
'undertake': [124, 32] 
'cotton': [124, 11] 
'star': [124, 24] 
'gets': [124, 28] 
'intent': [124, 34] 
'“there': [124, 7] 
'civilization': [124, 13] 
'ruled': [124, 25] 
'retained': [124, 24] 
'kindly': [124, 25] 
'explanation': [124, 23] 
'defeat': [124, 21] 
'played': [124, 27] 
'interval': [124, 28] 
'oak': [124, 19] 
'villages': [124, 15] 
'cousin': [124, 13] 
'ram': [124, 11] 
'luck': [124, 19] 
'diversity': [124, 15] 
'assyria': [124, 4] 
'planets': [124, 16] 
'abilities': [124, 16] 
'florentines': [124, 4] 
'“this': [124, 10] 
'“my': [124, 8] 
'tail': [124, 16] 
'destiny': [123, 27] 
'impose': [123, 27] 
'grievous': [123, 20] 
'sublime': [123, 19] 
'preference': [123, 25] 
'discussed': [123, 22] 
'inner': [123, 18] 
'mouths': [123, 33] 
'horsemen': [123, 14] 
'devour': [123, 24] 
'subdued': [123, 23] 
'daring': [123, 30] 
'kindred': [123, 25] 
'fortunate': [123, 32] 
'alter': [123, 26] 
'proceeds': [123, 23] 
'honey': [123, 24] 
'gracious': [123, 30] 
'malice': [123, 30] 
'uses': [123, 30] 
'restraint': [123, 24] 
'liberality': [123, 19] 
'welfare': [123, 27] 
'hereditary': [123, 23] 
'check': [123, 24] 
'brief': [123, 29] 
'repent': [123, 26] 
'expose': [123, 24] 
'pallas': [123, 10] 
'big': [123, 24] 
'concept': [123, 4] 
'ut': [123, 6] 
'pros': [123, 2] 
'god’s': [123, 14] 
'pulcheria': [123, 1] 
'marks': [122, 26] 
'total': [122, 20] 
'rises': [122, 29] 
'band': [122, 22] 
'answers': [122, 32] 
'injured': [122, 25] 
'calamity': [122, 22] 
'involved': [122, 29] 
'chase': [122, 27] 
'resources': [122, 17] 
'wax': [122, 21] 
'communication': [122, 21] 
'quarters': [122, 23] 
'indians': [122, 14] 
'fourteen': [122, 17] 
'pressing': [122, 21] 
'danaans': [122, 3] 
'firmly': [121, 32] 
'songs': [121, 22] 
'garment': [121, 15] 
'fancies': [121, 21] 
'represents': [121, 22] 
'features': [121, 18] 
'zeus': [121, 11] 
'shades': [121, 18] 
'loving': [121, 36] 
'ingenious': [121, 25] 
'improve': [121, 29] 
'herd': [121, 21] 
'pays': [121, 26] 
'retire': [121, 24] 
'vote': [121, 15] 
'diminished': [121, 21] 
'wouldst': [121, 14] 
'wondered': [121, 21] 
'afflicted': [121, 18] 
'dared': [121, 25] 
'strove': [121, 16] 
'frivolous': [121, 17] 
'nymph': [121, 12] 
'jonathan': [121, 2] 
'trumpet': [121, 16] 
'he’s': [121, 11] 
'bachelor': [121, 7] 
'cheap': [120, 21] 
'benevolence': [120, 21] 
'vii': [120, 29] 
'answering': [120, 26] 
'accuse': [120, 23] 
'upwards': [120, 21] 
'fever': [120, 22] 
'prescribed': [120, 24] 
'infinitely': [120, 25] 
'forsaken': [120, 14] 
'regarding': [120, 23] 
'sending': [120, 27] 
'enormous': [120, 23] 
'forthwith': [120, 21] 
'reckon': [120, 26] 
'dawn': [120, 18] 
'tie': [120, 24] 
'disturbed': [120, 26] 
'page': [120, 18] 
'districts': [120, 12] 
'effectual': [120, 16] 
'suburbs': [120, 6] 
'stairs': [120, 12] 
'bassanio': [120, 1] 
'wave': [119, 18] 
'fails': [119, 29] 
'sustain': [119, 22] 
'demanded': [119, 30] 
'presumption': [119, 20] 
'encouragement': [119, 19] 
'x': [119, 26] 
'reflect': [119, 24] 
'penalty': [119, 22] 
'urged': [119, 26] 
'wits': [119, 21] 
'watching': [119, 23] 
'victorious': [119, 22] 
'lasting': [119, 32] 
'shine': [119, 23] 
'frightened': [119, 16] 
'decay': [119, 27] 
'treaty': [119, 15] 
'serpent': [119, 18] 
'lack': [119, 28] 
'shameful': [119, 26] 
'stick': [119, 24] 
'25': [119, 12] 
'capitals': [119, 4] 
'polonius': [119, 1] 
'collected': [118, 29] 
'commission': [118, 24] 
'enterprise': [118, 24] 
'pretence': [118, 26] 
'illustrious': [118, 20] 
'devoted': [118, 34] 
'strain': [118, 28] 
'suited': [118, 25] 
'minutes': [118, 12] 
'celebrated': [118, 26] 
'practise': [118, 27] 
'dearer': [118, 20] 
'provision': [118, 27] 
'compose': [118, 24] 
'suffers': [118, 29] 
'beforehand': [118, 25] 
'depth': [118, 28] 
'unnatural': [118, 24] 
'grieved': [118, 19] 
'approaching': [118, 26] 
'maxims': [118, 13] 
'qualification': [118, 12] 
'contemptible': [118, 20] 
'respected': [118, 23] 
'amidst': [118, 14] 
'endeavours': [118, 17] 
'venice': [118, 9] 
'occasionally': [118, 16] 
'divinity': [117, 24] 
'lights': [117, 26] 
'examination': [117, 23] 
'anothers': [117, 18] 
'function': [117, 22] 
'fulfil': [117, 25] 
'effected': [117, 22] 
'educated': [117, 21] 
'devotion': [117, 22] 
'restrained': [117, 28] 
'aspect': [117, 29] 
'borrow': [117, 24] 
'lent': [117, 22] 
'healed': [117, 15] 
'peasant': [117, 21] 
'adam': [117, 13] 
'lorenzo': [117, 6] 
'week': [117, 17] 
'creon': [117, 2] 
'alexandrovna': [117, 1] 
'consolation': [116, 17] 
'punishments': [116, 21] 
'smooth': [116, 25] 
'voyage': [116, 22] 
'converse': [116, 26] 
'necessaries': [116, 17] 
'phoebus': [116, 8] 
'complex': [116, 15] 
'advise': [116, 29] 
'manly': [116, 24] 
'fearful': [116, 32] 
'reserve': [116, 27] 
'facility': [116, 17] 
'compact': [116, 26] 
'scriptures': [116, 10] 
'purchased': [116, 15] 
'fires': [116, 21] 
'courtesy': [116, 24] 
'distressed': [116, 13] 
'chest': [116, 17] 
'older': [115, 27] 
'men’s': [115, 13] 
'th’': [115, 10] 
'wheel': [115, 24] 
'apprehension': [115, 22] 
'preceding': [115, 24] 
'habitation': [115, 19] 
'commend': [115, 27] 
'amusement': [115, 19] 
'behalf': [115, 27] 
'troubles': [115, 28] 
'appoint': [115, 17] 
'viz': [115, 17] 
'planted': [115, 23] 
'suffice': [115, 27] 
'murderer': [115, 17] 
'farm': [115, 14] 
'renown': [115, 18] 
'sunk': [115, 23] 
'samson': [115, 4] 
'bands': [115, 20] 
'lake': [115, 19] 
'dart': [115, 15] 
'ascetic': [115, 7] 
'deemed': [114, 23] 
'accounted': [114, 26] 
'wisely': [114, 31] 
'stern': [114, 21] 
'bowels': [114, 15] 
'e': [114, 21] 
'unnecessary': [114, 24] 
'stripped': [114, 22] 
'propose': [114, 24] 
'remnant': [114, 15] 
'labours': [114, 25] 
'producing': [114, 22] 
'sends': [114, 25] 
'staff': [114, 17] 
'started': [114, 25] 
'constitutes': [114, 17] 
'consisted': [114, 23] 
'governors': [114, 16] 
'tall': [114, 21] 
'backward': [114, 24] 
'procure': [114, 26] 
'belonged': [114, 26] 
'sweat': [114, 29] 
'correspondence': [114, 17] 
'foremost': [114, 18] 
'si': [114, 10] 
'catherine': [114, 4] 
'portugal': [114, 4] 
'lambs': [114, 10] 
'performance': [113, 27] 
'positively': [113, 19] 
'fiery': [113, 25] 
'africa': [113, 15] 
'paths': [113, 24] 
'comprehended': [113, 23] 
'thief': [113, 23] 
'artificial': [113, 17] 
'workman': [113, 18] 
'valued': [113, 32] 
'forgot': [113, 33] 
'siege': [113, 22] 
'descend': [113, 24] 
'refer': [113, 26] 
'accused': [113, 20] 
'oblige': [113, 17] 
'departure': [113, 25] 
'grey': [113, 19] 
'embraced': [113, 24] 
'exceeding': [113, 21] 
'developed': [113, 18] 
'stomach': [113, 23] 
'olympus': [113, 12] 
'rash': [113, 27] 
'21': [113, 11] 
'115': [113, 9] 
'uneasy': [113, 18] 
'preach': [113, 17] 
'shot': [113, 21] 
'jew': [113, 13] 
'cervantes': [113, 2] 
'firstborn': [113, 1] 
'hall': [112, 22] 
'declaration': [112, 17] 
'lightning': [112, 26] 
'preached': [112, 14] 
'deeper': [112, 36] 
'mourn': [112, 17] 
'horrible': [112, 27] 
'relieve': [112, 25] 
'inspire': [112, 22] 
'lysander': [112, 5] 
'figures': [112, 25] 
'experienced': [112, 26] 
'desirable': [112, 20] 
'comprehend': [112, 24] 
'prohibited': [112, 11] 
'warlike': [112, 21] 
'deity': [112, 21] 
'males': [112, 12] 
'forming': [112, 28] 
'studies': [112, 24] 
'energy': [112, 24] 
'multiplied': [112, 17] 
'compass': [112, 29] 
'betray': [112, 23] 
'commercial': [112, 10] 
'dancing': [112, 23] 
'demetrius': [112, 6] 
'26': [112, 13] 
'35': [112, 12] 
'forsake': [112, 11] 
'cheeks': [112, 21] 
'warre': [112, 2] 
'sighs': [112, 22] 
'roubles': [112, 2] 
'glance': [111, 25] 
'violation': [111, 21] 
'truths': [111, 24] 
'inevitable': [111, 26] 
'reformation': [111, 16] 
'injurious': [111, 27] 
'legislators': [111, 15] 
'revealed': [111, 30] 
'aversion': [111, 20] 
'studied': [111, 28] 
'contracted': [111, 23] 
'modest': [111, 27] 
'seest': [111, 17] 
'helped': [111, 18] 
'recommended': [111, 18] 
'ordinances': [111, 14] 
'tobacco': [111, 9] 
'avdotya': [111, 1] 
'anybody': [110, 18] 
'wretch': [110, 22] 
'conducted': [110, 26] 
'tolerable': [110, 23] 
'banished': [110, 23] 
'enquire': [110, 13] 
'joint': [110, 24] 
'modes': [110, 21] 
'wiser': [110, 25] 
'entertained': [110, 22] 
'mortals': [110, 21] 
'multiply': [110, 19] 
'painting': [110, 15] 
'acquiring': [110, 21] 
'stirred': [110, 20] 
'creditors': [110, 10] 
'chaste': [110, 20] 
'hazard': [110, 19] 
'pernicious': [110, 22] 
'desperate': [110, 29] 
'beleeve': [110, 2] 
'bullock': [110, 6] 
'bourgeois': [110, 3] 
'macduff': [110, 1] 
'christianity': [109, 18] 
